epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,avg_accuracy,avg_loss
40,0.6578,1.6490750770568847,0.6778,1.5374743858337403,0.6673,1.560371702003479,0.6952,1.3210795137405396,0.684,1.420313228225708,0.7254,1.1424968262195587,0.7134,1.2756488777160644,0.6842,1.6415436508178711,0.6881375000000001,1.4435004077017308
41,0.7202,1.162875995349884,0.675,1.4509495952606202,0.6566,1.5367559619903564,0.6595,1.540825580215454,0.7223,1.230504521751404,0.7405,1.0920057834625243,0.7067,1.2790384483337403,0.6903,1.3676104988098146,0.6963874999999999,1.3325707981467247
42,0.7272,1.1691157012939453,0.704,1.3917806240081787,0.6677,1.5466285930633545,0.7291,1.098411502122879,0.7389,1.1387546580314636,0.7303,1.1959151544570923,0.7316,1.1599471313476561,0.7163,1.3160135623931886,0.7181375,1.25207086583972
43,0.6999,1.4517136032104492,0.6905,1.42865047454834,0.6884,1.36776764793396,0.7324,1.243180152130127,0.7128,1.2900859155654907,0.7327,1.179348708152771,0.7189,1.2413076446533202,0.7479,1.048527470779419,0.7154375000000001,1.2813227021217344
44,0.6955,1.4191191062927246,0.6729,1.6010700141906737,0.7028,1.3641922435760498,0.7396,1.0549965826988221,0.7097,1.3308789060592652,0.7136,1.3435251300811768,0.7182,1.3249462299346924,0.6581,1.7994360996246337,0.7013,1.404770539057255
45,0.7683,0.9763007335186005,0.6954,1.4500073766708375,0.7404,1.081342922782898,0.7336,1.1689073923110962,0.7414,1.0969572874069213,0.7092,1.3020781616210937,0.7296,1.2673599015235901,0.716,1.2838367193222047,0.7292375,1.2033488118946551
46,0.7219,1.2028672117233277,0.7093,1.2950870380401611,0.7271,1.1336251403808593,0.6994,1.4730059143066405,0.7401,1.2041213611602783,0.7313,1.3289497198104858,0.7436,1.143686258125305,0.7493,1.1169011390686034,0.72775,1.2372804728269577
47,0.7176,1.310156760406494,0.7368,1.1416183263778688,0.7038,1.3968847259521484,0.6978,1.5349619806289674,0.7164,1.4467807289123535,0.6889,1.5871976299285888,0.7249,1.298412797164917,0.7184,1.3773949459075927,0.713075,1.3866759869098662
48,0.7146,1.339006079673767,0.7456,1.1456900848388671,0.7425,1.1616000284194947,0.7221,1.3553440891265869,0.7486,1.1659760917663575,0.7237,1.3744941570281983,0.7205,1.350145054244995,0.7336,1.273276089668274,0.7314,1.2706914593458176
49,0.7152,1.4413784168243409,0.7418,1.2230219104766846,0.6911,1.6037189336776734,0.7351,1.1733867774963378,0.7529,1.1653753890991212,0.7404,1.2198426532745361,0.7329,1.2424101831436156,0.6894,1.7564291999816894,0.72485,1.35319543299675
50,0.7585,1.12067956533432,0.682,1.614707140350342,0.7158,1.3394758735656738,0.7253,1.3849676361083985,0.7002,1.6003065483093262,0.7468,1.178118971633911,0.7509,1.1480590209960937,0.6675,1.7940144031524659,0.718375,1.3975411449313162
51,0.7393,1.2087786167144776,0.754,1.099910062122345,0.7217,1.3250315881729127,0.7481,1.2216685238838196,0.6144,2.200979800415039,0.735,1.34776254196167,0.6864,1.6463545120239258,0.7373,1.3949568523406983,0.717025,1.430680312204361
52,0.7438,1.1773962314605713,0.723,1.3858298274040222,0.6724,1.8023644575119018,0.7246,1.45720198097229,0.6918,1.7046617614746093,0.718,1.418350886631012,0.7009,1.66141610622406,0.7113,1.5297829528808593,0.710725,1.5171255255699156
53,0.7463,1.194952206325531,0.719,1.3558386169433594,0.744,1.1709437624931336,0.7467,1.1586400217533113,0.7251,1.322378378868103,0.7106,1.4428731887817383,0.7465,1.2337168144226074,0.699,1.6355939922332763,0.7296499999999999,1.3143671227276326
54,0.7311,1.3668715644836427,0.7082,1.4357885497093201,0.6858,1.734453207397461,0.696,1.6886367458343505,0.7162,1.4161756576538085,0.7039,1.57231743888855,0.7319,1.319304585170746,0.7058,1.495838783454895,0.7098625000000001,1.5036733165740968
55,0.7272,1.409759323310852,0.7259,1.4230533155441285,0.7467,1.2299531953811647,0.7353,1.5075287792205811,0.7315,1.3562657779693603,0.7124,1.478690712738037,0.7134,1.5231791667938233,0.7026,1.6144167346954346,0.724375,1.4428558757066727
56,0.7609,1.1339583701133729,0.728,1.2927227834701538,0.6766,1.748731273841858,0.671,1.8675613578796386,0.7037,1.655463632583618,0.7428,1.3000439147949219,0.7446,1.290254118156433,0.7002,1.7110735176086427,0.715975,1.4999761210560798
57,0.7321,1.4003933256149292,0.7262,1.3883530529022217,0.7214,1.387565238571167,0.7476,1.2509564952850343,0.7456,1.2609866340637208,0.7281,1.3510868392944335,0.728,1.4337139949798583,0.7391,1.2741326637268067,0.7335125,1.3433985305547713
58,0.6944,1.8523246410369874,0.6571,2.0343713008880617,0.7144,1.4844695215225219,0.6998,1.6743746829986572,0.7291,1.480442200088501,0.7045,1.7611850624084473,0.7408,1.3129907815933228,0.7135,1.4273109545707703,0.7067000000000001,1.6284336431384085
59,0.7391,1.4097022740364076,0.7411,1.3584424518585205,0.6998,1.6812210035324098,0.7428,1.4223658639907837,0.7424,1.424320132255554,0.7279,1.5298618942260742,0.7183,1.5233854483127593,0.751,1.2800048142433167,0.7328,1.4536629853069782
60,0.7366,1.4886176921844483,0.712,1.5080397247314452,0.6974,1.6174975637435913,0.7419,1.3400884929060937,0.7429,1.3316503232955932,0.7046,1.7064030096054077,0.7283,1.5712337527275086,0.726,1.3665515335083007,0.7237125,1.4912602615877986
61,0.7261,1.559398613548279,0.7184,1.6101263061523436,0.709,1.6838661247253417,0.733,1.506772356414795,0.7285,1.4564590965270996,0.7567,1.2473076043128968,0.7175,1.6122945660591126,0.7519,1.1755378001213073,0.7301375,1.4814703084826468
62,0.7476,1.3510481737136841,0.7456,1.2179238899230957,0.6766,2.00344741230011,0.7283,1.4098095677375793,0.7515,1.2828373782157898,0.7135,1.5507141275405885,0.7257,1.5252656436920167,0.7327,1.3834771863937378,0.7276875,1.465565422439575
63,0.7402,1.3738948452949524,0.7399,1.4837202835083008,0.7016,1.678792041015625,0.746,1.267274065208435,0.753,1.2992462547302246,0.7359,1.4707486471176148,0.7649,1.1845504863739014,0.7393,1.3704627314567566,0.7401,1.3910861693382264
64,0.7513,1.2638585884094238,0.7416,1.2923085971832275,0.7327,1.3917354274749756,0.7358,1.426931374168396,0.7299,1.5434970966339112,0.7237,1.6426081336975098,0.7538,1.2920087155342102,0.7219,1.5488065433502198,0.7363375000000001,1.4252193095564842
65,0.7125,1.6092910278320312,0.7312,1.443927679824829,0.6947,1.9065914863586426,0.7222,1.6034992536544799,0.724,1.5805390827178956,0.7273,1.4481135801315308,0.7353,1.4241886837005615,0.7077,1.6992492588996888,0.7193624999999999,1.5894250066399573
