epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,client_8_accuracy,client_8_loss,client_9_accuracy,client_9_loss,avg_accuracy,avg_loss
21,0.3477,2.405300372695923,0.3477,2.405300372695923,0.3477,2.405300372695923,0.3477,2.405300372695923,0.3477,2.405300372695923,0.3477,2.405300372695923,0.3477,2.405300372695923,0.3477,2.405300372695923,0.3477,2.405300372695923,0.3477,2.405300372695923,0.3477,2.405300372695923
22,0.3908,2.461780033493042,0.3908,2.461780033493042,0.3908,2.461780033493042,0.3908,2.461780033493042,0.3908,2.461780033493042,0.3908,2.461780033493042,0.3908,2.461780033493042,0.3908,2.461780033493042,0.3908,2.461780033493042,0.3908,2.461780033493042,0.3908,2.461780033493042
23,0.3586,2.1952037765502928,0.3586,2.1952037765502928,0.3586,2.1952037765502928,0.3586,2.1952037765502928,0.3586,2.1952037765502928,0.3586,2.1952037765502928,0.3586,2.1952037765502928,0.3586,2.1952037765502928,0.3586,2.1952037765502928,0.3586,2.1952037765502928,0.3586,2.1952037765502928
24,0.389,2.150096617889404,0.389,2.150096617889404,0.389,2.150096617889404,0.389,2.150096617889404,0.389,2.150096617889404,0.389,2.150096617889404,0.389,2.150096617889404,0.389,2.150096617889404,0.389,2.150096617889404,0.389,2.150096617889404,0.38900000000000007,2.150096617889404
25,0.3832,2.195632991027832,0.3832,2.195632991027832,0.3832,2.195632991027832,0.3832,2.195632991027832,0.3832,2.195632991027832,0.3832,2.195632991027832,0.3832,2.195632991027832,0.3832,2.195632991027832,0.3832,2.195632991027832,0.3832,2.195632991027832,0.3832,2.195632991027832
26,0.414,2.234520013046265,0.414,2.234520013046265,0.414,2.234520013046265,0.414,2.234520013046265,0.414,2.234520013046265,0.414,2.234520013046265,0.414,2.234520013046265,0.414,2.234520013046265,0.414,2.234520013046265,0.414,2.234520013046265,0.414,2.234520013046265
27,0.4397,2.444885749053955,0.4397,2.444885749053955,0.4397,2.444885749053955,0.4397,2.444885749053955,0.4397,2.444885749053955,0.4397,2.444885749053955,0.4397,2.444885749053955,0.4397,2.444885749053955,0.4397,2.444885749053955,0.4397,2.444885749053955,0.43970000000000004,2.444885749053955
28,0.4277,2.507587191390991,0.4277,2.507587191390991,0.4277,2.507587191390991,0.4277,2.507587191390991,0.4277,2.507587191390991,0.4277,2.507587191390991,0.4277,2.507587191390991,0.4277,2.507587191390991,0.4277,2.507587191390991,0.4277,2.507587191390991,0.4277,2.5075871913909906
29,0.4286,2.5907488368988036,0.4286,2.5907488368988036,0.4286,2.5907488368988036,0.4286,2.5907488368988036,0.4286,2.5907488368988036,0.4286,2.5907488368988036,0.4286,2.5907488368988036,0.4286,2.5907488368988036,0.4286,2.5907488368988036,0.4286,2.5907488368988036,0.4286,2.5907488368988036
30,0.453,2.4812123054504394,0.453,2.4812123054504394,0.453,2.4812123054504394,0.453,2.4812123054504394,0.453,2.4812123054504394,0.453,2.4812123054504394,0.453,2.4812123054504394,0.453,2.4812123054504394,0.453,2.4812123054504394,0.453,2.4812123054504394,0.453,2.48121230545044
31,0.4612,2.3892150871276856,0.4612,2.3892150871276856,0.4612,2.3892150871276856,0.4612,2.3892150871276856,0.4612,2.3892150871276856,0.4612,2.3892150871276856,0.4612,2.3892150871276856,0.4612,2.3892150871276856,0.4612,2.3892150871276856,0.4612,2.3892150871276856,0.4612,2.3892150871276856
32,0.5035,2.2965088218688963,0.5035,2.2965088218688963,0.5035,2.2965088218688963,0.5035,2.2965088218688963,0.5035,2.2965088218688963,0.5035,2.2965088218688963,0.5035,2.2965088218688963,0.5035,2.2965088218688963,0.5035,2.2965088218688963,0.5035,2.2965088218688963,0.5035,2.2965088218688967
33,0.496,2.4262613864898683,0.496,2.4262613864898683,0.496,2.4262613864898683,0.496,2.4262613864898683,0.496,2.4262613864898683,0.496,2.4262613864898683,0.496,2.4262613864898683,0.496,2.4262613864898683,0.496,2.4262613864898683,0.496,2.4262613864898683,0.4960000000000001,2.4262613864898688
34,0.5345,2.360703040313721,0.5345,2.360703040313721,0.5345,2.360703040313721,0.5345,2.360703040313721,0.5345,2.360703040313721,0.5345,2.360703040313721,0.5345,2.360703040313721,0.5345,2.360703040313721,0.5345,2.360703040313721,0.5345,2.360703040313721,0.5344999999999999,2.3607030403137204
35,0.5276,2.4543599632263184,0.5276,2.4543599632263184,0.5276,2.4543599632263184,0.5276,2.4543599632263184,0.5276,2.4543599632263184,0.5276,2.4543599632263184,0.5276,2.4543599632263184,0.5276,2.4543599632263184,0.5276,2.4543599632263184,0.5276,2.4543599632263184,0.5275999999999998,2.454359963226318
36,0.5244,2.524973052215576,0.5244,2.524973052215576,0.5244,2.524973052215576,0.5244,2.524973052215576,0.5244,2.524973052215576,0.5244,2.524973052215576,0.5244,2.524973052215576,0.5244,2.524973052215576,0.5244,2.524973052215576,0.5244,2.524973052215576,0.5244,2.524973052215576
37,0.5199,2.508595746612549,0.5199,2.508595746612549,0.5199,2.508595746612549,0.5199,2.508595746612549,0.5199,2.508595746612549,0.5199,2.508595746612549,0.5199,2.508595746612549,0.5199,2.508595746612549,0.5199,2.508595746612549,0.5199,2.508595746612549,0.5199,2.508595746612549
38,0.5396,2.536369234466553,0.5396,2.536369234466553,0.5396,2.536369234466553,0.5396,2.536369234466553,0.5396,2.536369234466553,0.5396,2.536369234466553,0.5396,2.536369234466553,0.5396,2.536369234466553,0.5396,2.536369234466553,0.5396,2.536369234466553,0.5396,2.5363692344665525
39,0.5486,2.507151776123047,0.5486,2.507151776123047,0.5486,2.507151776123047,0.5486,2.507151776123047,0.5486,2.507151776123047,0.5486,2.507151776123047,0.5486,2.507151776123047,0.5486,2.507151776123047,0.5486,2.507151776123047,0.5486,2.507151776123047,0.5486000000000001,2.5071517761230466
40,0.5725,2.691332992553711,0.5725,2.691332992553711,0.5725,2.691332992553711,0.5725,2.691332992553711,0.5725,2.691332992553711,0.5725,2.691332992553711,0.5725,2.691332992553711,0.5725,2.691332992553711,0.5725,2.691332992553711,0.5725,2.691332992553711,0.5725,2.691332992553711
41,0.5635,2.5467242305755615,0.5635,2.5467242305755615,0.5635,2.5467242305755615,0.5635,2.5467242305755615,0.5635,2.5467242305755615,0.5635,2.5467242305755615,0.5635,2.5467242305755615,0.5635,2.5467242305755615,0.5635,2.5467242305755615,0.5635,2.5467242305755615,0.5635000000000001,2.546724230575562
42,0.6295,2.4325372795104983,0.6295,2.4325372795104983,0.6295,2.4325372795104983,0.6295,2.4325372795104983,0.6295,2.4325372795104983,0.6295,2.4325372795104983,0.6295,2.4325372795104983,0.6295,2.4325372795104983,0.6295,2.4325372795104983,0.6295,2.4325372795104983,0.6295,2.4325372795104983
43,0.6285,2.41532290725708,0.6285,2.41532290725708,0.6285,2.41532290725708,0.6285,2.41532290725708,0.6285,2.41532290725708,0.6285,2.41532290725708,0.6285,2.41532290725708,0.6285,2.41532290725708,0.6285,2.41532290725708,0.6285,2.41532290725708,0.6285,2.4153229072570794
44,0.6192,2.352096533203125,0.6192,2.352096533203125,0.6192,2.352096533203125,0.6192,2.352096533203125,0.6192,2.352096533203125,0.6192,2.352096533203125,0.6192,2.352096533203125,0.6192,2.352096533203125,0.6192,2.352096533203125,0.6192,2.352096533203125,0.6192,2.3520965332031247
45,0.653,2.338083711242676,0.653,2.338083711242676,0.653,2.338083711242676,0.653,2.338083711242676,0.653,2.338083711242676,0.653,2.338083711242676,0.653,2.338083711242676,0.653,2.338083711242676,0.653,2.338083711242676,0.653,2.338083711242676,0.6530000000000001,2.3380837112426756
46,0.644,2.453288766860962,0.644,2.453288766860962,0.644,2.453288766860962,0.644,2.453288766860962,0.644,2.453288766860962,0.644,2.453288766860962,0.644,2.453288766860962,0.644,2.453288766860962,0.644,2.453288766860962,0.644,2.453288766860962,0.644,2.453288766860962
47,0.6736,2.3487399551391603,0.6736,2.3487399551391603,0.6736,2.3487399551391603,0.6736,2.3487399551391603,0.6736,2.3487399551391603,0.6736,2.3487399551391603,0.6736,2.3487399551391603,0.6736,2.3487399551391603,0.6736,2.3487399551391603,0.6736,2.3487399551391603,0.6736000000000001,2.34873995513916
